Discription,SOFT SKILL,HARD SKILL,TOOLS,KNOWLEDGE
"Insurance Agency located in –  Ponte Vedra Beach, FL   This is your opportunity to become an Agent without the expense of overhead, rent, staff, office expenses, etc. EARN COMMISSIONS AND RENEWALS!!   Established and growing Independent insurance agency located in Ponte Vedra Beach, FL  is seeking a professional insurance agent to partner with us in South Florida. This person must possess a strong desire to sell Property and Casualty insurance sales products in the homeowners and auto, and other personal lines area of insurance. This person will have day to day contact with clients, prospects, and insurance both on the phone and in person.  *Insurance Sales Representative Requirements:* * Property & Casualty License 220 Required * Bi-lingual Spanish strongly preferred * Ability to persevere through rejection  * Have a proficiency in written & oral communication, and good computer skills. * Continual self starter in sales. * Highly organized sales ability to identify customer needs to complete the sale.   *Daily Insurance Sales Representative Responsibilities:* * Selling auto, home, boat, motorcycle, and other specialty line. * Our agency has a large customer base to cross sell.  * Provide exceptional customer service and timely follow-up * Maintain an upbeat, positive and professional attitude. * Continual sales education to maintain and update product offering knowledge * A great self-starter in sales – with ideas on how to grow our business  *Insurance Sales Representative Benefits:* * Competitive salary * Highly paid commissions and bonus * Paid time off  Details provided during interview. We are looking for an individual who wants to maximize their income potential. We invest heavily in marketing for new business leads. If you have the prerequisites requirements, please apply.","['independent', 'professional', 'sales', 'positive', 'competitive', 'computer skills', 'customer service', 'professional attitude', 'self starter']","['fl', 'auto', 'casualty insurance', 'insurance sales']",,
"Hotel Support Specialist Coach is responsible for the development of an RFP process and develop and maintain a database for hotel information to be use by the customer coaches along with developing a system for establishing and maintaining communications with hotel vendors. This position will also advise and assist the Operational Manager as to hotel industry update and trends and other duties as assigned.   ESSENTIAL FUNCTIONS & RESPONSIBILITIES  Book hotels for flight crew ; Book hotels for WHQ Meetings & Events for small groups  Send out hotel promotions/updates/information and update Hotel BARS  Acts as a liaison between the Hotel Reservation Agent, Sales Representative and Accounting Department of the customer and customer coaches.  Responsible for assisting customer coaches with time-consuming hotel bookings, modifications and hotel cancellations.  Responsible for ensuring preferred hotel vendors are confirmed according to hotel rate guides.  Responsible for maintaining accurate block space allotment for specified hotels  Maintain courteous and professional relationship with all internal and external clients  Responsible for reviewing and running hotel reports on a daily, weekly, and monthly basis.  Ensure the savings data is properly entered into database.  Work with team of customer coaches to ensure associates are booked at preferred properties.  Maintains and tracks waivers and favors.  Create and maintain a database to monitor preferred hotels and assist with ongoing negotiations.  Create and maintain a system for communication with hotel vendors ; schedule & execute vendor visits   EDUCATION & EXPERIENCE  1+ years in corporate travel environment  College preferred  Intermediate level on Microsoft Office and Internet  MINIMUM REQUIREMENTS (REQUIRED SKILLS)  Excellent verbal and written communication skills  Strong interpersonal skills  Ability to work independently with control and organization  Strong attention to detail","['responsible', 'communications', 'sales', 'accurate', 'courteous', 'professional', 'communication skills', 'interpersonal skills', 'verbal communication skills']","['accounting', 'hotel industry', 'microsoft office']",['guides'],
"We are a non-profit Resale Store looking for a hard working individual. We would like someone with retail experience or cashier experience in a retail store enviroment, but not necesssary, as we will train the right person.   Some of the duties include, but are not limited to *Maintains sufficient amounts of change in cash drawer.  *Balances cash drawer and receipts; documents discrepancies.  *Assists customers in locating specific items.  *Keeps register area neat and stocked with necessary supplies.  *Assists in other areas of store, such as clean-up, shelf-stocking, or keeping merchandise displayed in an orderly manner. *Enters purchases into cash register to calculate total purchase price.  *Accepts cash and bankcards for payment; completes all transactions according to established procedure.  *Counts money, gives change and issues receipt for funds received.  *Calculates discounts or references; requests customer identification for certain discounts and receipts as required.",['manner'],"['certain', 'cash register']",,
"LONG TERM CARE EXPERIENCE PREFERREDThis position requires a Registered Dietitian or Dietetic Technician who can work independently at one or more long term care facilities in the Titusville, North Brevard County areas. Full- or part-time flexible schedules available. Will report to the President of BSN or Regional Director. Qualifications:1) Current Registration by Commission of Dietetics as Dietitian or Technician.2) Current Licensed Dietitian/Nutritionist by the State of Florida, optional3) One year of experience in food service management or clinical dietetics4) Experience in Long Term Care dietetics preferred Responsibilities:• Nutritional assessments, care planning, intervening and monitoring of nutritional status• Involvement with Quality Assurance Performance Improvement (QAPI) regarding food service, cost control and dining practices• Serve as nutritional expert during the state and federal survey process Balanced Senior Nutrition (formerly Excellence in Dietetic Services), has been providing dietitian consulting services, customized menus, survey and food service management and training/certification for long term care communities since 1982. Our mission is balancing quality of life with quality of care and our specialty is person-centered dining. We are seeking registered dietitian and registered diet technician candidates who are passionate about and committed to enhancing older adults’ dignity, happiness and health through pleasant, meaningful dining experiences. Balanced Senior Nutrition offers competitive pay, flexible full and part-time assignments, training and professional advancement opportunities for the right candidate.","['flexible', 'management', 'planning', 'consulting', 'committed', 'pleasant', 'competitive', 'professional', 'quality assurance']","['registration', 'dietetics', 'service management', 'care planning', 'performance improvement', 'management training']",,
"We have an immediate opening for a FULL TIME (30 hrs per week) Customer Service/Sales Associate at Planet Self Storage located on S Lincoln Ave in Washington, NJ. Experience preferred but NOT required - we will train you. If you have an outgoing personality, find it easy to strike up a conversation with anyone, enjoy dealing with people and are reliable we welcome you to apply. Advancement opportunities are possible for quality performers.  Our Associates enjoy: * $11 per hour starting wage + bonuses * Great hours, no evenings or major holidays; Saturday availability a must * Flexible schedule * An independent work environment * A wide variety of duties  Requirements: * Desire for success! * Exceptional communication skills * Great people skills * Excellent sales skills * 100% Dependability * Self starter and able to work independently. * Ability to perform light janitorial work. * Reliable transportation and a valid driver license - you must have your own vehicle * Pre-employment background check and drug screen  No phone calls please! Respond with resume","['sales', 'outgoing', 'reliable', 'availability', 'flexible', 'schedule', 'independent', 'customer service', 'outgoing personality', 'communication skills', 'people skills']",,,['transportation']
"Internet Sales/Marketing Specialist (Immediate Hire, Multiple Openings)   Company Background: Glopo Inc: We are a toy designer, importer and distributor. We are based in South El Monte, CA.  We also have locations outside the United States, including several manufacturing and distribution centers in Asia. We are looking for an Internet Sales/ Marketing Specialist. We are a fast developing company that has visions and aggressive goals to grow.  You must be responsible and passionate on your daily work, and able to cooperate well within a small group.  This is a full-time position 8:30am to 5:30pm Monday to Friday.  **We will consider beginner to intermediate level** The qualified individual will be in charge of, and responsible for: 1. Make multiple listings on different online platforms.  2. Attract buyers to auction and buy it now listing, and maintain good seller standing 3. Make an item sellable and popular on major sites.  4. Answer customer emails and phone calls ; Follow up claims efficiently and effectively 5. Keep up-to-date tracking, payment records, etc.  6. Maintain up-to-date Excel reports 7. Make marketing campaigns and approaches on different sites.  8. Use social media and blogs to advertise our products and deals.   Requirements: -Must be an enthusiastic team player, multi-tasker and responsible meeting project deadlines. -Must be a quick learner, great at using various internet and computer software.  - Be familiar with Internet Marketing, daily deal sites and flash sale sites. -Keen eye for details, must be well organized with an ability to prioritize and proactively offer solutions.  -Excellent verbal and written communication skills. -Photoshop (preferred) -Website Knowledge is strongly preferred. -Experience with consumer goods - primarily sold through retailers and ecommerce. -An interest and knowledge of children and family products is a plus. -Knowledge of marketing skills, online ads is preferred. -Must have own transportation -Work well with team members on new updates, changes and various duties - Have knowledge of Google Analytics. - Be able to analyze the on-site and off-site problems of any website and find appropriate solutions. - Have good communication skills. - Have strong time-management skills, and be able to do multitasking.  Starting Salary: $9/hr + sales based commission.  * Must be a United States Citizen or hold a permanent residency. Please send your resume to us, and we will contact you asap. Thanks! ","['sales', 'aggressive', 'responsible', 'enthusiastic', 'management', 'social media', 'team player', 'quick learner', 'communication skills', 'marketing skills', 'time management', 'management skills', 'verbal communication skills', 'time management skills']","['blogs', 'google', 'analytics', 'multitasking', 'internet marketing', 'google analytics']",['platforms'],['transportation']
"*Join the Club!* *Your Local Hermantown, MN Sam’s Club® is Hiring Overnight Merchandisers!*  From greeting the first Member who walks in the door to thanking the last one who leaves for the day, Sam’s Club associates are all about friendly, helpful attitudes. Visit us online and discover how you can make the Club an even better place to work.  *Responsibilities include:*   * Maintains merchandise presentation by stocking merchandise, setting up, cleaning, and organizing product displays, removing damaged goods, signing and pricing merchandise appropriately, and securing fragile and high-shrink merchandise * Receives and stocks merchandise throughout the Facility, and organizes and maintains Facility by following Company procedures, utilizing equipment appropriately, merchandising, and completing paperwork, logs, and other required documentation * Maintains safety of Facility by following all safety standards, procedures, and guidelines including conducting safety sweeps, following proper forklift spotting procedures, following proper procedures for handling and disposing of hazardous materials, following Company steel standard guidelines, and correcting/reporting unsafe situations to Management * Maintains the Sales Floor in area of responsibility in accordance with Company policies and procedures by properly handling claims and returns, zoning the area, arranging and organizing merchandise, and identifying shrink and damages * Follows Company policies and procedures related to Freezer/Cooler area by complying with food handling policies, following Cold Chain procedures when stocking merchandise, cleaning freezer and cooler windows and spot boxes, and monitoring freezer and cooler fans, drains, and doors for proper operation, and reports issues to Management * Follows Company policies and procedures for the Grocery area by monitoring food/merchandise quality, product rotation, code dating, product recalls, and sanitation standards, correctly merchandising grocery categories, ensuring prominent display of promotional and seasonal merchandise, and stocking, zoning, and cleaning the Department   For more information about Sam’s Club or to apply online, click on the *\""Apply Now\""* link below and specify interest in the *Overnight Merchandiser* position located at store #6320.   _Sam’s Club is an Equal Opportunity Employer._","['friendly', 'presentation', 'management', 'sales', 'responsibility', 'sanitation']","['merchandising', 'chain', 'code', 'safety standards', 'floor area', 'cold chain']",,
"GREAT NURSING OPPORTUNITIES!   Positions Open:  RN's  and LPN’s Full-Time Part-Time and Weekend    University Park Skilled Nursing and Rehabilitation has RN and LPN positions available.  Come join a company that cares about making a difference! We offer competitive wages & benefits and a working environment where we care about both our residents and our staff!    Please apply in person, e-mail or fax resume to:   University Park Skilled Nursing and Rehabilitation 797 East Market St. Akron, Ohio 443015 Fax:   XXX ",['competitive'],"['nursing', 'rehabilitation', 'competitive wages']",,
"Busy general surgery office is looking for outgoing team player to join our team. Duties include supporting front and back office, clerical, data entry, phone and email communication with patients and other medical offices.  High school diploma, excellent communication skills, experience in medical office and team player a must. Position is part time, no benefits.","['outgoing', 'team player', 'communication skills']","['surgery', 'general surgery', 'front office']",,['clerical']
"UI Engineer – Medallia    “JOIN US IN THE FIGHT AGAINST MEDIOCRITY!”    Right now we have massive amounts of data with very little structure, which is why we’re putting together a core team of software engineers who just happen to work on UI.  This team is going to redefine our user experience and at the same time set the standard for how the world interacts with big data.  We’re really looking to create custom real-time interactions through amazing visualizations using the latest web technologies.    Medallia is the global leader in SaaS Customer Experience Management and Enterprise Feedback Management.  We build technology that captures and analyzes ridiculous amounts of structured or unstructured data for our customers in real-time.  Basically, we help businesses better understand their customers which leads to customer loyalty and market dominance.  We were recently named a Leader in EFM Satisfaction and Loyalty Solutions in the first-ever Wave Report by Forrester Research.    As we expand our User Experience team at Medallia we’re looking for an experienced front-end engineer with a solid background in computer science with a passion for proper software abstractions, systems architecture, performance and testing.  You’ll help redesign an implement UI’s, and pick up Java as necessary to bridge the gap between the back-end and the front-end.    Responsibilities:  • Collaborate with visual and experience designers and engineers to implement new features  • Define and develop reusable and efficient JavaScript components and data bindings  • Write tests to monitor and ensure the performance of front-end code  • Continually research, recommend, and implement front-end best practices    Qualifications:  • Expert AJAX, XHTML, JavaScript and CSS skills; Flash/Flex a plus  • Deep experience designing modular, object-oriented JavaScript  • Minimum of 5 years industry experience  • Experience programming scalable web applications  • Self-starter with the ability to work under pressure and handle multiple simultaneous tasks  • Strong verbal and written communication skills    Join the team  If you love working on products that ship, apply to join our team!    UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer UI Engineer.....","['leader', 'management', 'loyalty', 'research', 'science', 'passion', 'efficient', 'programming', 'self starter', 'communication skills', 'verbal communication skills']","['abstractions', 'gap', 'javascript', 'code', 'ajax', 'flash', 'flex', 'user experience', 'big data', 'customer experience', 'unstructured data', 'computer science', 'systems architecture', 'performance testing', 'web applications']",,
"Local corporate travel agency seeking part-time help (3 days per week) which is expected to increase to full time in the future.  Primary job responsibility is to service corporate travel accounts, booking air, hotel, car rental, assisting in procuring visas & passports, and providing any other services requested by our corporate accounts. Experience with social media sites such as Facebook & Linked In is a plus. We are a small agency so we require a flexible, detail oriented person who is able to work together as a team as well as independently. Good communication & customer service skills are a must, along with the ability to multi-task & meet deadlines with accuracy, and follow up with clients. Will consider a trainee for the right candidate who possesses the other job skills required.  Salary commensurate with your experience. ","['responsibility', 'flexible', 'accuracy', 'social media', 'customer service']",['social media sites'],,
"General Managers are responsible for the overall performance of their assigned operation including achieving sales goals and profit objectives while satisfying our client’s needs.  The General Manager will:  • Optimize sales and profits at assigned operation.  Develop goals and objectives in conjunction with the Regional Vice President. • Develop and maintain relationships with key clients.  Provide quality customer service through personal interaction with clients and through associates.  Promote awareness of the Company and its products and services.   • Manage inventory, property and equipment to ensure the Company’s assets are adequately protected and to increase returns and minimize shrink.  Identify trends and take proactive or remedial action to handle business situations. • Ensure the operation is staffed with qualified, motivated and engaged associates.  Develop their maximum potential through regular coaching and training.  The ideal candidate will have a minimum of five years of management experience in a lumber/building materials operation and experience working with national and custom builders.     Equal Opportunity Employer/Affirmative Action and Drug Free Workplace","['responsible', 'sales', 'proactive', 'motivated', 'coaching', 'management', 'building', 'affirmative', 'customer service']","['lumber', 'remedial action']",,
"NWI is looking for experienced Drivers.  Experience driving a vacuum truck preferred! Looking for a clean driving record. .  Class B cdl preferred Experience driving trailers 32-40ft.  Responsibilities Include. Performs complete pre-trip and post-trip of the vehicle.  • Drives heavy diesel truck to portable toilet customer sites and to disposal area(s). • Climbs into and out of truck at customer locations and disposal area(s). • Cleans toilets and preps them for delivery. • Delivers or picks up portable toilets, as assigned. • Dumps collected septic waste at public water treatment facility or at district location. • Courteously interacts with customers, dispatchers and supervisors. • Completes required route service sheets. • Performs all driver check-in procedures upon returning to the facility at the end of the day. • Reads route sheet and follows map servicing each customer as identified on the route sheet or as assigned by dispatcher and/or supervisor. • Follows all safety policies and procedures. • Performs other job-related duties as assigned.  Position is Full Time.  TO APPLY:  Go to www.example.com and click on the applications tab or go to www.example.com . Submit your resume and fill out our driver application.",,"['portable', 'supervisors', 'route', 'water treatment']",,
"Cavallo Bus Lines, Inc. has full and part time positions available for Motor Coach Drivers. Company will train CDL at company's expense. Great communication skills and clean driving record required.  Attractive wage starting at $13.00 per hour.     Apply in person.:  Cavallo Bus Lines  4515 Stout Field South Drive  Indianapolis,IN 46241",,,,
"Would you like a career that inspires you, energizes you and allows you to achieve great things? We are looking for a positive, organized person for a position in as Glenwood Springs, Colorado as the Roaring Fork Area Manager.   Qualifications Necessary 1) MUST have permanent housing and currently reside in Glenwood Springs, Carbondale, Basalt, El Jebel, Aspen, Silt, or Rifle, Colorado. 2) Janitorial and Janitorial Supervisory experience of 2 + years. 3) Must be Bilingual (Spanish & English) 4) Must have valid Colorado drivers license with little or no violations for the past 7 years. 5) Must have a clean background check  Personal Skills Necessary:   1) Strong communication skills when working with clients and co-workers.   2) Optimistic and cheerful personality with the ability to control elevated situations with effective communication.   3) Confident and knowledgeable decision maker to determine appropriate solutions to issues quickly and impartially.   4) Advanced computer skills with a desire to learn about using technology to increase efficiency and quality with clients, employees and co-workers.   Job Duties: 1) Managing cleaning crews and personnel 2) Hiring and training custodial personnel. 3) Creating and maintaining employee work schedules. 4) Meeting with new and existing clients. 5) Fill in janitorial services as required.  Will train in all area including the following: 1) Establishing and implementing employee training and safety programs 2) Current inspection and quality control submitting procedures 3) New Hire and Employee Training Procedures  Wages, benefits, bonuses, and advancement will depends on experience,job performance, attitude and extra responsibilities accepted.  USCP is a smoke-free work environment.   - Please send resume and you will be called for an interview.  - Click Here to send an email with your information and experience: www.example.com  - Or call  XXX  for application and address of interview offices.","['positive', 'confident', 'communication skills', 'cheerful personality', 'decision maker', 'computer skills']","['aspen', 'supervisory', 'quality control']",,
"Now Hiring Shift Managers, Cooks, & Customer Service and all other positions for our new Pizza Hut \""Fairfax/Hyde Park\"" location at: 3972 Red Bank Road, Suite F  Fairfax, OH 45227  Please apply today at Jobs.PizzaHut.com and please feel free to attend our Job Fair:  ***OPEN INTERVIEWS***  WHEN?  Wednesday December 5th & Wednesday December 12th  WHERE?  3972 Red Bank Rd Suite F  Fairfax, Oh 45227  Time?  from 2-5 pm both days",['customer service'],"['pizza', 'red']",,
"*Another great opportunity brought to you by Bradley Harris & Associates, a specialized agency recruiting top talent within the Senior Living industry.*    *Experienced Executive Directors*    *High-end Independent, Assisted Living & Memory Care Community*    The Executive Director is responsible for the day-to-day operations of the community including the profit and loss. S/he coordinates, plans, implements, monitors, directs, and evaluates all aspects of operations including supervision, support, and coaching of employees. The Executive Director also meets financial expectations, maintains high resident and family satisfaction, and ensures a quality, service/customer orientated staff. In addition, s/he manages the community based on policies, procedures, and guidelines. The Executive Director is fully knowledgeable of all state and federal regulations, guidelines, and reporting pertinent to the day-to-day operation of the community.    *EDUCATION*    Bachelor’s degree in Business Administration, Human Resources Administration, Gerontology or other course of study that relates to service to the elderly, preferred.    *PREVIOUS EXPERIENCE*    Demonstrated, successful operations experience specific to independent, assisted, Alzheimer’s, communities, Hospitality & Customer relations related fields.   ","['independent', 'responsible', 'operations', 'hospitality', 'business administration']","['gerontology', 'senior living', 'assisted living', 'memory care', 'community policies', 'community education']",['monitors'],
"Paws & Play Pet Resort is an award winning resort. We treat our guests like family!  Caring for other peoples pets is a great responsibility and privilege – one that we take very seriously. Our commitment is rewarded each time we send home a happy pet to a satisfied owner.  The success of our pet care operation depends upon the people caring for the dogs. The pet’s well-being and comfort are always the number-one priority with our staff.  Our facility has been a labor of love and has continued to change and evolve into the business it is today, with these changes comes the need for growth within our organization and great opportunities.  We currently are looking for a Front Office Supervisor.  The ideal candidate:  • Minimum of 1 year experience managing people • Excellent people and communication skills • Ability to work a flexible schedule, including week-ends, holidays, mornings & evenings • Succeeds in a fast paced environment • Ability to handle customer service issues • Background and/or a strong desire to enter the pet care industry  Duties may include • Assuring procedural compliance with staff members • Opening and closing of front office • Overseeing a high level of customer service • Working with all departments to provide the highest level of care to our clients • Upholding the Paws & Play Pet Resort Brand • Ensuring the objectives and goals of Paws & Play Pet Resort  We offer:  • Competitive salary • 401k Benefits • Direct Deposit • Employee Discounts • A professional but fun and safe work environment  For more company information you may view our website www.example.com","['responsibility', 'commitment', 'flexible', 'schedule', 'competitive', 'professional', 'communication skills', 'customer service']","['front office', 'paced environment']",,
"Responsible for the team that will do observations and audit function, against the defined training course-maps, industry standards and Customer materials. Ensure tracking of all employee training and development initiatives and provide an e-learning solution through our Learning Management Systems.    This position will communicate with Senior Management on the success and challenges faced within the training organization, pre hire, in training and  post production. They will provide the framework that ensures Associates and Leadership are delivering the best experience to our front line team.    This person will work with the support teams to understand operational challenges, then work on how we can proactively in training mitigate those operational challenges.     This candidate should have a vast knowledge of the contact center business.    *Major Responsibilites*    Develop and maintain an adaptable Training Organization that serves the Training needs for the company. Responsibilities include:      • Long term/strategic planning and budget planning/analysis.   • Result-oriented quality measurement and applying appropriate measurements when applicable.   • Marketing knowledge for the promotion and advertising of training initiatives and campaigns.   • Organizational team participation and implementation of strategic initiatives.   • Focus  on creating high-value customized support solutions for our clients and delivering increased customer satisfaction   • Manage team of mid level managers and direct them to look at the business from an analytical standpoint.  • Analyze what are the drivers behind success and opportunities within the training organization  • Analyze post training performance and working in tandem with the operations and BI teams to help the organization as a whole be smarter about what and how we deliver training to our front line teams  • Create controlled innovative solutions and training deliverables that elevate the learning environment  • Define and measure against the Training SOPs and Certification elements  • Maintain and Monitor Training Professional Certification Requirements      As a trusted sourcing partner, our clients’ business objectives become our business objectives.  Every day, we strive to better understand our clients’ competitive and market challenges so that we can play a more effective role as a trusted sourcing partner.  We build customer loyalty and reduce total cost of ownership through specific actionable continuous improvement efforts       *Decision Making Authority*     • Normally receives minimal instructions on routine work and limited instructions on new assignments. Work assignments are complex in nature where judgment is required in resolving problems and making recommendations. Applies knowledge of the job, and company policies and principles to complete a wide range of tasks.   • Work is performed under supervision of the VP of Support Services. Responsible for the supervision of Corporate Training Managers. Responsible for the direction, coordination and evaluation of the department and can include; interviewing, hiring, and training employees; planning, assigning, and directing work; appraising performance; rewarding and disciplining employees; addressing complaints and resolving problems.       *Knowledge, Skill and Abilities*    • Complete understanding of the general and technical aspects of training.   • Fluent in verbal and written English, bi-lingual is a plus.  • Ability to effectively communicate and interact with all levels of personnel within the organization, including presenting information and responding to questions from groups of managers, clients, customers.  • Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists.   • Ability to plan own work and the work of others in one or more departments.   • Ability to prepare and/or develop plans for projects and programs involving coordination with other departments and/or outside organizations.   • Ability to adapt to changing priorities, meet deadlines and work well under pressure.   • Ability to nurture and develop a team environment.   • Ability to exercise initiative and judgment as well as make decisions within the scope of assigned authority.   • Ability to incorporate adult learning theory when facilitating training.   • Advanced knowledge of various talent management practices and theories.  • Ability to supervise and motivate others.   • Strong math skills to include knowledge of basic statistics.   • Ability to evaluate training of all functions at multiple sites.   • Advanced skills in establishing and maintaining effective working relationships.  • Strong computer skills including Windows Office Products.    *Education/Experience*       • Bachelors Degree (BS) from a four (4) year college or university or equivalent combination of education and related experience.   • Minimum 5 years related experience with a minimum of two (2) years supervisory/ management experience is required.     *Travel Requirements*    • Frequent travel is required approximately 70%  ","['responsible', 'management', 'challenges', 'leadership', 'planning', 'organizational', 'focus', 'analytical', 'operations', 'innovative', 'professional', 'competitive', 'loyalty', 'judgment', 'coordination', 'understanding', 'practical', 'initiative', 'computer skills']","['framework', 'plus', 'statistics', 'supervisory', 'management systems', 'position senior', 'strategic planning', 'customer satisfaction', 'learning theory', 'learning management systems']",['levels'],
"Full Time position available as Sterile Processing Tech for busy Orthopedic ASC. Certification required.   Demonstrates knowledge of proper disinfect ion and cleaning of surgical instruments. Proper use of personal protective equipment.  Follows the manufacturer’s recommendation for cleaning methods and machinery.  Demonstrates knowledge of the proper assembly and packaging methods of surgical instrumentation to ensure a barrier is maintained and aseptic presentation is facilitated.  Demonstrates knowledge regarding the loading of items to provide maximum efficiency and minimize the risk of damage to items.  Monitors and verifies each cycle prior to the load being released for storage and distribution. Reports any system failures to supervisor.  Monitors and removes from service any faulty disinfect ion/sterilization equipment.  Knowledge of surgical instrumentation  Able to identify the need for sterility maintenance of processed items by correct handling, transit, and storage.  Maintains rotation of stock, ensuring that items processed first are issued first.  Correctly uses and maintains necessary documentation  Maintains an adequate inventory of supplies keeping cost effectiveness as a priority.  Legal/Safety  Demonstrates ability to follow all safety standards  Demonstrates knowledge of regulatory and licensure agency standards.  Working Relationships  Communicates effectively with members of the team, families, patients and visitors.  Accepts/provides feedback in a positive and constructive manner  Avoids gossip and keeps excessive, chatter to a minimum in patient care area.  Maintains attendance and punctuality at work.  Exercises courtesy when dealing with team members.  Quality Improvement  Participates in quality improvement activities  Participates in the development of goals and attainment of goals for the facility  Maintains professional conduct and appearance  Collaborates with manager during annual appraisal to develop personal goals and to assess achievement of previous goals.  MINIMALLY REQUIRED EDUCATION, TRAINING, AND/OR EXPERIENCE High school graduate or equivalent Two-years experience as sterile processing technician Certification in Sterile Processing","['presentation', 'effectiveness', 'positive', 'manner', 'patient', 'punctuality', 'courtesy', 'professional']","['processing', 'instrumentation', 'sterilization', 'sterility', 'surgical instruments', 'safety standards']","['monitors', 'personal protective equipment']",
"*Encore Industries, Inc.* is a leader in the paint sundry market and a growing player in packaging.  Encore operates three divisions including Encore Plastics Corporation, Midstates Plastics Corporation, and Encore Plastics Southeast, LLC.  We have five facilities in three states with a focus on continued growth.  To learn more about Encore, visit www.example.com.   We are looking for a professional for a *Scheduler/Inventory Control Specialist* for our Cambridge, Ohio manufacturing facility.  The ideal candidate will be hard working, of good character, self-starting, and a quick learner.  Responsible for the production scheduling of their base manufacturing facility.  To assure the accuracy, timeliness, and optimal material flow of materials and finished goods both physically and virtually by performing the following duties and to ensure the optimal tracking and operation of the Visual system.    Job Duties include: * Inventory variance investigation, root cause analysis, and reconciliation. * Conduct periodic physical inventories. * Conduct daily warehouse cycle counts. * Audit inventory transactions. * Act as a back up for bill of material and new part number creation. * Assist with training supervisors and employees on departmental ERP work instructions. * Maintains the Visual system for accuracy in inventory and Work Order Process * Manage inventory levels in warehouse via daily reports and cycle counting * Create and maintain inter-branch transfers in truckload volumes from other Encore sites. * Create, revise and reconcile work orders; maintain stock inventory accuracy * Coordinate Scheduling with Production to maintain inventory levels; expected to hold  daily Production meetings with plant level staff and communicate issues/concerns to appropriate corporate level personnel as needed. * Is responsible for updating the Work Instructions in Visual and for Training personnel on new items or updates * Is responsible for tracking optimal material flow and recording throughout the facility.  Focusing and addressing discrepancies and issues found at any step of the material flow process. * Facilitate scheduling optimization by recommending improvements to scrap rate and tracking, material flow, etc. * Addresses any material flow issue including scrap, WO and inventory discrepancies through training and root cause analysis. * Notifies management of missing inventory for review and action. * Assures awareness of excess inventory conditions and materials requiring inordinately long lead times. * Interacts with all shifts regarding material issues/updates * Improves knowledge of scheduling, inventory management and practices.   Requirements include: * Strong work ethic and must be a self-starter. * Strong analytical skills. * Proficiency in Excel, Outlook, and Word with the ability to quickly learn new programs. * Professional verbal and written communications skills. * Experience with an ERP system is preferred.   *We offer an industry competitive benefits package with pay determined based on experience and education.*   Encore is proud to be a Drug Free Workplace. EOE","['leader', 'professional', 'character', 'responsible', 'scheduling', 'accuracy', 'investigation', 'management', 'analytical', 'communications', 'competitive', 'quick learner', 'work ethic', 'self starter', 'analytical skills', 'communications skills']","['reconciliation', 'supervisors', 'inventory control', 'material flow', 'work order', 'cycle counting', 'process optimization', 'inventory management', 'root cause analysis']",['levels'],
"MISSION:  It is our commitment to provide our customers a one-stop destination for the largest selection of quality home furnishings at the lower prices every day, while striving to enrich, fulfill, and reward our employees and the communities we live in.  GENERAL STATEMENT OF DUTIES: Under general supervision, the Driver is to ensure an accurate inventory and loading all merchandise in a proper manner for transportation and transferring product from store to store while abiding by all company safety guidelines. Additionally: abiding by all state motor vehicle operator safety guidelines.     EXAMPLES OF WORKED PERFORMED: Loading, securing the load and unloading merchandise from the loading docks and delivery truck at specified locations. Driver will also be responsible for assisting warehouse personnel with general warehouse duties, such as, but not limited to material handling, packing, loading on trucks, transporting materials to other work areas, cleaning, etc. Must be able to quickly gain knowledge of merchandise and documents used in the store to store transfer process. Check daily assignments and responsibilities: use excellent customer relations with both internal and external customers. Any other duties as directed by management.   EMPLOYMENT STANDARDS: Ability to repetitively lift heavy merchandise of 50 lbs; Valid Commercial Driver’s License required with no more than 2 traffic violations or 1 chargeable accident within the past three years; Knowledge of safe operation of a delivery truck and knowledge of Federal, State, and local motor vehicle safety laws. Ability to communicate effectively with team members; positive attitude when working with customers; knowledge of employment and safety procedures.  PHYSICAL ACTIVITY REQUIREMENTS: To successfully perform the essential functions of the job, an employee must be able to perform the following: Stooping, kneeling, crouching, reaching, standing, climbing, crawling, walking, pulling, lifting, talking, hearing/listening and repetitive motion.  Heavy Work: Lifting up to 50 lbs occasionally, up to 50 lbs frequently, and up to 30 lbs constantly to move objects.  Work Environment: Occasionally works in hot and/or cold temperatures and occasionally exposed to wet and/or humid conditions.  Lady Americana promotes and maintains a drug-free work environment. Lady Americana is an Equal Opportunity Employer.","['commitment', 'accurate', 'manner', 'responsible', 'management', 'positive', 'positive attitude']",['material handling'],['trucks'],['transportation']
